gemeratopm, max, min, mean, standev
0, 2.000000, 2.000000, 2.000000, 0.000000
1, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.000000
4, 4.000000, 4.000000, 4.000000, 0.000000
5, 2.000000, 2.000000, 2.000000, 0.000000
6, 0.000000, 0.000000, 0.000000, 0.000000
7, 2.000000, 2.000000, 2.000000, 0.000000
8, 2.000000, 2.000000, 2.000000, 0.000000
9, 2.000000, 2.000000, 2.000000, 0.000000
10, 2.000000, 2.000000, 2.000000, 0.000000
11, 0.000000, 0.000000, 0.000000, 0.000000
12, 2.000000, 2.000000, 2.000000, 0.000000
13, 2.000000, 2.000000, 2.000000, 0.000000
14, 0.000000, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000, 0.000000
